country,continent,year,lifeExp,pop,gdpPercap
Australia,Oceania,1950,69.02,8267337,10031.12138
Australia,Oceania,1951,68.72,8510600,10160.73672
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1953,69.7,8857924,10157.91298
Australia,Oceania,1954,69.85,9064017,10544.08738
Australia,Oceania,1955,70.17,9277087,10864.61774
Australia,Oceania,1956,70.05,9500606,10974.12837
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1958,70.88,9915267,11240.95886
Australia,Oceania,1959,70.45,10131729,11678.07069
Australia,Oceania,1960,70.89,10361273,11897.96372
Australia,Oceania,1961,71.16,10598814,11711.50002
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1963,70.99,11001483,12722.21702
Australia,Oceania,1964,70.65,11218304,13329.89726
Australia,Oceania,1965,70.98,11439384,13739.92688
Australia,Oceania,1966,70.82,11655083,13860.95806
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1968,70.73,12101660,15088.55836
Australia,Oceania,1969,71.14,12379384,15647.10938
Australia,Oceania,1970,70.81,12660160,16273.14214
Australia,Oceania,1971,71.41,12937200,16633.1259
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1973,72.14,13380400,17429.71805
Australia,Oceania,1974,71.89,13599100,17574.58167
Australia,Oceania,1975,72.84,13771400,17824.57038
Australia,Oceania,1976,72.88,13915500,18351.06793
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1978,73.88,14248600,18635.0381
Australia,Oceania,1979,74.44,14421900,19380.63562
Australia,Oceania,1980,74.6,14615900,19505.55452
Australia,Oceania,1981,74.97,14923260,19841.87946
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1983,75.55,15393500,19214.56115
Australia,Oceania,1984,76.02,15579400,20295.25294
Australia,Oceania,1985,75.46,15788300,21040.4946
Australia,Oceania,1986,76.13,16018350,21168.81051
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1988,76.36,16520206,22508.19078
Australia,Oceania,1989,76.46,16780235,23133.97635
Australia,Oceania,1990,77.06,17022133,23151.89034
Australia,Oceania,1991,77.55,17257526,22893.85675
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1993,78.1,17688687,24053.10102
Australia,Oceania,1994,78.1,17892557,24780.17241
