,dep_delay
0,2.0
1,4.0
2,2.0
3,-1.0
4,-6.0
5,-4.0
6,-5.0
7,-3.0
8,-3.0
9,-2.0
10,-2.0
11,-2.0
12,-2.0
13,-2.0
14,-1.0
15,0.0
16,-1.0
17,0.0
18,0.0
19,1.0
20,-8.0
21,-3.0
22,-4.0
23,-4.0
24,0.0
25,8.0
26,11.0
27,3.0
28,0.0
29,0.0
30,-8.0
31,13.0
32,-4.0
33,-6.0
34,-6.0
35,-3.0
36,-2.0
37,-2.0
38,-1.0
39,-1.0
40,-1.0
41,24.0
42,0.0
43,-8.0
44,-1.0
45,-3.0
46,-2.0
47,8.0
48,-2.0
49,1.0
50,1.0
51,-4.0
52,-3.0
53,-7.0
54,0.0
55,-5.0
56,-5.0
57,-4.0
58,-3.0
59,-9.0
60,-4.0
61,-3.0
62,-2.0
63,-2.0
64,-1.0
65,-1.0
66,-6.0
67,-1.0
68,1.0
69,2.0
70,9.0
71,-4.0
72,-3.0
73,2.0
74,-3.0
75,-2.0
76,-2.0
77,-6.0
78,-1.0
79,-5.0
80,-3.0
81,-4.0
82,-1.0
83,-3.0
84,3.0
85,47.0
86,-3.0
87,-3.0
88,-6.0
89,0.0
90,-4.0
91,13.0
92,-6.0
93,13.0
94,0.0
95,0.0
96,39.0
97,-3.0
98,2.0
99,-7.0
100,-2.0
101,-5.0
102,-1.0
103,-2.0
104,-1.0
105,0.0
106,-10.0
107,-4.0
108,-7.0
109,3.0
110,-6.0
111,0.0
112,5.0
113,-10.0
114,-3.0
115,-6.0
116,0.0
117,-5.0
118,-4.0
119,101.0
120,-4.0
121,-2.0
122,-2.0
123,4.0
124,7.0
125,0.0
126,-10.0
127,0.0
128,1.0
129,-4.0
130,-8.0
131,-2.0
132,0.0
133,-6.0
134,-2.0
135,71.0
136,9.0
137,-2.0
138,5.0
139,-1.0
140,-1.0
141,0.0
142,-5.0
143,-4.0
144,-8.0
145,-2.0
146,0.0
147,-11.0
148,-5.0
149,-5.0
150,1.0
151,853.0
152,-3.0
153,0.0
154,-8.0
155,11.0
156,-3.0
157,8.0
158,-4.0
159,-4.0
160,-4.0
161,1.0
162,-3.0
163,-8.0
164,-3.0
165,6.0
166,-2.0
167,-1.0
168,-1.0
169,0.0
170,-1.0
171,43.0
172,-2.0
173,0.0
174,23.0
175,-2.0
176,-7.0
177,0.0
178,59.0
179,12.0
180,6.0
181,-5.0
182,-6.0
183,14.0
184,-3.0
185,2.0
186,-3.0
187,15.0
188,0.0
189,21.0
190,4.0
191,-3.0
192,4.0
193,-2.0
194,-3.0
195,0.0
196,4.0
197,25.0
198,1.0
199,1.0
200,2.0
201,-4.0
202,29.0
203,-2.0
204,-4.0
205,-9.0
206,-3.0
207,-3.0
208,-5.0
209,-15.0
210,-4.0
211,-13.0
212,-6.0
213,-4.0
214,-6.0
215,32.0
216,-5.0
217,-4.0
218,144.0
219,-3.0
220,-1.0
221,-7.0
222,4.0
223,5.0
224,-3.0
225,-6.0
226,-5.0
227,-5.0
228,10.0
229,-4.0
230,-2.0
231,-5.0
232,-6.0
233,5.0
234,34.0
235,-4.0
236,2.0
237,-1.0
238,-5.0
239,1.0
240,1.0
241,-3.0
242,16.0
243,7.0
244,8.0
245,2.0
246,-1.0
247,-1.0
248,3.0
249,-8.0
250,-3.0
251,-2.0
252,3.0
253,-5.0
254,-3.0
255,-4.0
256,-2.0
257,-1.0
258,-1.0
259,6.0
260,18.0
261,3.0
262,18.0
263,-8.0
264,-6.0
265,-4.0
266,12.0
267,-2.0
268,134.0
269,96.0
270,-5.0
271,13.0
272,24.0
273,-1.0
274,-5.0
275,-2.0
276,-3.0
277,-2.0
278,-1.0
279,5.0
280,-1.0
281,-3.0
282,4.0
283,3.0
284,-5.0
285,-3.0
286,-2.0
287,-1.0
288,-8.0
289,-6.0
290,-6.0
291,30.0
292,-7.0
293,-6.0
294,-6.0
295,-5.0
296,-5.0
297,-5.0
298,-5.0
299,-1.0
300,-8.0
301,-3.0
302,-7.0
303,-2.0
304,-2.0
305,0.0
306,-5.0
307,3.0
308,-2.0
309,3.0
310,4.0
311,5.0
312,-3.0
