arxiv_id,category,field,title,abstract
2607.05393v1,astro-ph.GA,Astrophysics,Interpretable Human-Label-Free Deep Learning for Real-Bogus Classification with Uncertainty Quantification,"Time-domain surveys generate many transient candidates, making Real-Bogus classification a critical step in automated discovery pipelines. Reliable labels are costly, while community labels can be noisy and survey-dependent. We aim to develop a Real-Bogus classification framework that can be trained without human-labeled data using injected transients and bogus-dominated survey data, remains robust under strong class contamination, and provides calibrated uncertainty quantification. We combine simulated transient injections with a contaminated survey class and train a dual-network model using asymmetric co-teaching for classes with different label-noise levels. We evaluate performance on a benchmark subset and analyze the learned representation with latent-space visualization tools. For uncertainty quantification (UQ), we compare MC dropout and deep ensembles and propose a low-cost hybrid strategy that exploits the dual-network setting to improve calibration. We extend the evaluation to the light-curve domain to assess recovery of light-curve classes. The method achieves strong Real-Bogus performance on the labeled subset and remains stable under severe class contamination. It recovers transient light-curve classes with high fidelity, while single-source identification is limited by ambiguity in light-curve-derived labels. Our hybrid UQ approach achieves competitive calibration relative to more expensive ensemble baselines. Latent-space analyses indicate that uncertainty aligns with the decision boundary and reveal subclasses within the bogus population. Our results show that injection-driven, weakly supervised training can enable scalable and consistent Real-Bogus classification without human-labeled training data while providing calibrated uncertainties. The method is suited for transfer to forthcoming surveys by re-running the injection-based training pipeline."
2607.05326v1,astro-ph.GA,Astrophysics,Weak Evolution of Cosmic Atomic Hydrogen over the Past 4.5 Billion Years,"The cosmic star formation rate density (CSFRD) has declined sharply toward the present day, but the roles of the atomic and molecular gas reservoirs remain uncertain. We measure the cosmic HI density, $Ω_{\mathrm{HI}}$, over $0<z<0.41$ by combining HI spectra from the Five-hundred-meter Aperture Spherical Telescope with optical spectroscopy from the Dark Energy Spectroscopic Instrument for $\sim2.5$ million galaxies across $\sim12,000\,{\rm deg}^2$. We measure a raw decrease in $Ω_{\mathrm{HI}}$ by a factor of $1.35\pm0.10$ over the past 4.5 Gyr. Even after applying the conservative systematic corrections from our forward model, the inferred decline is only $1.12\pm0.10$ -- still far weaker than the CSFRD decline (a factor of 2.46). The molecular gas density, in contrast, is known to evolve more closely with star formation. At fixed stellar mass, the average HI gas fraction evolves by less than 0.2 dex, showing that the weak evolution is present across the galaxy population. These quantitative differences rule out rapid depletion of galaxy HI as the primary driver of the late-time CSFRD decline, and provide a stringent benchmark for models of gas accretion, phase conversion and star-formation regulation."
2607.05295v1,astro-ph.GA,Astrophysics,"Toward Unbiased Abundance Measurements in Inhomogeneous $\mathrm{H\,II}$ Regions","Probing the chemical content of the interstellar medium (ISM) in nearby galaxies provides key insight into their chemical evolution and informs our interpretation of galaxies at higher redshift. However, nonlinear structure in the ISM, including density and temperature inhomogeneities, can bias chemical abundance measurements and systematically affect empirical calibrations derived from them. In this work, we investigate biases in $T_e$-derived oxygen abundance determinations and explore the physical properties that correlate with them. We combine $\mathrm{[O\,II]}λ\lambda3726, 3729$ measurements from SITELLE with a full suite of optical emission lines obtained with MUSE. From auroral emission lines ($\mathrm{[N\,II]}\lambda5755$, $\mathrm{[S\,III]}\lambda6312$, and $\mathrm{[O\,II]}λ\lambda7320, 7330$) and nebular emission lines (including $\mathrm{[N\,II]}\lambda6584$ and $\mathrm{[S\,III]}\lambda9069$), we derive electron densities, temperatures, and chemical abundances for a sample of $\mathrm{H\, II}$ regions in five galaxies. We find that densities derived from the $\mathrm{[O\,II]}$ auroral-to-nebular ratio are $\sim10^3$ cm$^{-3}$, which is higher than the standard $\mathrm{[S\,II]}$ densities derived from nebular doublet ratios. We demonstrate that combining the $\mathrm{[N,II]}$ electron temperature with the density inferred from the $\mathrm{[O\,II]}$ auroral-to-nebular line ratio yields singly ionized oxygen abundances consistent with literature expectations for a prescription insensitive to density inhomogeneities. We also find that the $\mathrm{[S\,III]}$ temperature provides a reliable estimate of $T_{e,\mathrm{[O\,III]}}$, enabling robust measurements of doubly ionized oxygen abundances. Overall, these results indicate that the abundance discrepancy factor could be higher in more chemically evolved $\mathrm{H\, II}$ regions."
2607.05246v1,astro-ph.GA,Astrophysics,The emergence of X-ray emission lines during relativistic radio-jet formation in the changing-look active galactic nucleus 1ES 1927+654,"We present results from a comprehensive multi-wavelength monitoring campaign of the changing-look active galactic nucleus 1ES 1927+654 during the onset and evolution of a radio jet (May 2022-August 2025). Using observations from XMM-Newton, Swift, TNG, ZTF, VLA, and VLBA, we characterize the spectral evolution of the source. Soft X-ray emission lines at ~0.56 keV and ~1 keV have appeared with variable strength and width during the formation of a nascent jet, with the ~1 keV feature persisting since the post-2017 flare phase. We also report the detection of a broad (~800 eV) Fe K emission feature at ~(6-7) keV in ~70 ks of stacked EPIC-pn spectra, marking the first such detection in this historically featureless source. Joint spectral fitting of XMM-Newton EPIC-pn and RGS data reveals the presence of ionized absorbers in 2022, followed by weaker absorption from 2023 to 2025. The emergence of emission features concurrent with the decline of ionized absorption suggests a transition in the inner accretion and outflow processes, indicating the reflection and reprocessing of X-rays from the inner accretion disk during jet formation. The apparent weakening of ionized outflows as the jet develops supports a scenario in which accreting material is preferentially channeled into the jet rather than expelled as winds. Furthermore, both the 0.3-2 keV soft X-ray and 5 GHz radio fluxes, which have increased by factors of ~10 and ~60, respectively, since 2022, have recently plateaued at elevated levels. Combined with steady optical emission, this indicates a stabilized accretion disk, corona, and jet configuration. Finally, the absence of broad optical emission lines suggests that the broad-line region is either not along our line of sight or insufficiently illuminated by the central source."
2607.05208v1,astro-ph.GA,Astrophysics,Comparing gravitational wave background predictions from cosmological simulations to pulsar timing observations,"The recent detection of a gravitational wave background (GWB) by pulsar timing arrays (PTAs) may represent the first evidence of gravitational waves from merging supermassive black hole binaries, opening a new window on the low-frequency end of the gravitational wave spectrum. These inspiralling binaries are expected to dominate the signal, although most theoretical models seem to predict somewhat lower amplitudes than what is observed. We present the first comprehensive statistical framework to quantify the tension between PTA measurements and theoretical predictions, maximising the constraining power of current data and allowing straightforward application to future PTA datasets. We further investigate how different assumptions in the observational inference, particularly the use of a power-law model for the GWB spectrum, can bias tension estimates and potentially overstate discrepancies with theory. We apply our framework to compare predictions from the FABLE cosmological simulation with the NANOGrav 15-year dataset. For our fiducial black hole population, we find tension values of $1σ$-$2.5σ$, indicating no statistically significant disagreement with the observations. We further explore physically motivated modifications to the merging black hole population, guided by electromagnetic observations and theoretical uncertainties. In particular, scenarios with boosted black hole masses at high redshift and more equal-mass mergers substantially increase the predicted GWB amplitude, improving agreement with PTA data. Finally, we investigate the high-mass end of the black hole mass function and the impact of finite simulation volume. We find that the $(100 \, \mathrm{cMpc} \, h^{-1})^3$ FABLE box is sufficient to robustly predict the GWB signal at the most constraining frequency."
2607.05156v1,astro-ph.GA,Astrophysics,Emergence of high-mass stars in complex fiber networks (EMERGE) VI. Turbulence dissipation and the formation of dense fibers,"(Abridged) The turbulent cascade naturally generates a hierarchy of filaments within molecular clouds, with fibers suggested to be the first (tran-)sonic components formed out of it. We aim to investigate the diffuse gas kinematics and its interaction with the dense gas composing fibers using HNC as molecular tracer. We use high-resolution (4.5"" or 2000au) large-scale ALMA+IRAM-30m mosaics to survey five star-forming regions in Orion, as part of the EMERGE Early ALMA Survey covering a wide range of stellar activity, cloud morphology, and evolutionary stages. We observe our targets in HNC(1-0) as probe of diffuse gas in the regions and compare it to the N2H+(1-0) emission tracing the dense gas. Our high resolution observations reveal that HNC traces lukewarm, diffuse ($\sim5\times10^{21}$ cm$^{-2}$) material around dense fibers. The properties of the diffuse gas appear to be similar across our sample, despite the wide range of different environments. Compared to the quiescent and subsonic gas inside fibers, the diffuse gas is, however, more turbulent ($M_\text{s}=2.9$). Understanding the dissipation process is crucial to mark the transition between the dense subsonic gas and diffuse turbulent material occurs. We investigated the turbulence dissipation through the statistical analysis of the HNC velocity gradients. We identified high-shear regions showing higher gradients with $\nabla V_{lsr}\ge10~\mathrm{km~s^{-1}~pc^{-1}}$ concentrated in small features of 0.1-0.3 pc in size located near the dense gas. These high-shear structures appear to be major contributors of the turbulence dissipation in our targets. Our results suggest that in Orion the transition to coherence occurs at the fiber level, as suggested by the turbulence being effectively dissipated before the formation of cores and during the formation of these first dense structures."
2607.05087v1,astro-ph.GA,Astrophysics,Lyman-alpha haloes in the aftermath of reionisation,"We present a comparative study of Ly$α$ haloes (LAHs) around low-luminosity (L$_{\mathrm{Ly}α}\lesssim 10^{42}$ erg s$^{-1}$) Ly$α$-emitting galaxies (LAEs) at very high redshifts $z\geq6$ and a reference sample at $z\sim 3$ covering a similar Ly$α$ luminosity and host galaxy stellar mass range. Using data from the Multi-Unit Spectroscopic Explorer (MUSE) at the ESO VLT, we extracted the samples such that at the different redshifts we obtain the same intrinsic surface brightness sensitivity, accounting for cosmological dimming. We detect extended Ly$α$ emission around 6 out of 18 high-$z$ LAEs in the MUSE eXtremely Deep Field (MXDF), more than doubling the number of known such objects at $z\geq6$. We obtain an only slightly higher individual LAH detection fraction of 40% among the lower redshift comparison sample. Yet the typical exponential scale lengths at $z\geq6$ are three times smaller than those at $z\sim3$. Stacking the LAEs with undetected haloes gives again drastically different results for the two samples, with a highly significant halo detection at $z\sim 3$ but no trace of extended Ly$α$ emission at $z\geq6$. We also find the Ly$α$ spectral line widths of the high-$z$ sample to be $\sim$2.5 smaller in comparison to the lower redshift objects. We discuss the potential mechanisms driving such strong changes. In a reionisation-driven scenario the higher neutral fraction in the intergalactic and circumgalactic media might lead to substantial scattering losses of escaping Ly$α$ radiation, leaving detectable only emission from the vicinity of the star-forming regions. In an alternative scenario the LAH properties might be linked more closely to the evolution of their host galaxies than previously thought."
2607.04959v1,astro-ph.GA,Astrophysics,Spectroscopic redshifts of selected flat-spectrum radio sources I,"We present the first results of a spectroscopic campaign carried out as part of the Search for Milli-Lenses (SMILE) program, which aims to constrain the prevalence of gravitational lens systems on milli-arcsecond angular scales (milli-lenses) using high-resolution Very Long Baseline Interferometry (VLBI) imaging. The SMILE parent sample contains ~ 5000 radio-loud active galaxies, selected as a flux-limited, complete subsample of CLASS (The Cosmic Lens All-Sky Survey) sources. We compiled redshift information for the full sample from multiple literature and catalog sources and found that 491 sources have no available redshift estimate, either spectroscopic or photometric. A further 948 sources have only photometric redshifts, many of which show substantial discrepancies between catalogs. Reliable redshifts are essential for VLBI radio-source studies because they convert angular measurements into physical linear scales, enable estimates of intrinsic luminosities and jet kinematics, and allow robust cosmological and population studies. To address this key limitation for lensing and population studies, we initiated a dedicated spectroscopic campaign to secure reliable redshifts for as many targets as possible. This paper focuses on the brightest sources in the SMILE sample. We report newly determined spectroscopic redshifts for 6 targets out of 15 observed with the Skinakas 1.3 m telescope."
2607.04955v1,astro-ph.GA,Astrophysics,CausticFlow: An Efficient Machine Learning Framework Combining Neural Differential Equations and Normalizing Flows for Binary Microlensing Parameter Inference,"We introduce CausticFlow, a machine learning framework that combines neural controlled differential equations with normalizing flows to infer binary microlensing parameters. This architecture naturally handles irregularly sampled time series and data gaps while flexibly capturing strongly correlated and multimodal posterior distributions. Trained on simulated KMTNet-like light curves, CausticFlow generates posterior samples in a fraction of a second, with maximum-a-posteriori estimates achieving typical precisions of $\sim17\%$ for the mass ratio $q$ and $\sim3\%$ for the projected separation $s$. When used as a proposal distribution for downstream local optimization, the framework improves these precisions to $<5\%$ and $<1\%$, respectively, and recovers model $χ^2$ for $\sim80\%$ of simulated events. We test the generalizability of the framework on 10 real binary lensing events characterized by higher-order effects, varied cadences, and real-world noise. Despite these mismatches between simulation and reality, CausticFlow successfully recovers the model parameters, light-curve morphology, and lensing geometry for 7 of the 10 events after simple local refinement, achieving precision levels comparable to those found for simulated data in 10 CPU minutes per event. These results demonstrate that CausticFlow acts as a fast and robust proposal engine, bridging the gap between the rapid influx of data and the need for systematic modeling in large-scale microlensing surveys such as Roman, CSST, and ET."
2607.04942v1,astro-ph.GA,Astrophysics,MICONIC: The spatial relationship between star formation and the AGN in Centaurus A revealed by JWST/MIRI,"Centaurus A (Cen A), the nearest active radio galaxy, hosts a warped dust disc formed in a gas-rich merger. We present JWST/MIRI imaging in three filters, F560W, F770W, and F1130W, of this central disc over a ~4 x 2 kpc region to characterise its resolved mid-infrared stellar populations. The images reveal a system of extended dusty structures, previously identified with Spitzer as an ""oval dusty shell"", now resolved into multiple loop-like features that are brightest in F1130W and closely associated with the warped disc. Colour-magnitude and colour-colour diagnostics reveal a distinct population of 928 red point sources with strong infrared excess, accounting for ~36 per cent of sources with high-quality photometry in all three bands, spatially confined to the disc. These sources exhibit rising mid-infrared spectral slopes indicative of emission from warm dust. Their colours and spatial distribution are consistent with a population dominated by embedded young stellar objects, tracing recent (~10^5-10^6 yr) star formation within the disc. The strong geometric alignment of these sources with the disc, together with the lack of correlation with the radio jet, suggests that star formation in the central regions of Cen A is primarily regulated by merger-accreted gas, with no strong evidence for AGN jet-ISM interactions."
